Group num: 0, TC(X;Y_j): 284.094
comp172636_c0_seq1, 0.349
comp16564_c0_seq4, 0.349
comp9139_c0_seq1, 0.348
comp212789_c0_seq1, 0.348
comp32309_c0_seq1, 0.347
comp3744_c3_seq9, 0.347
comp461423_c0_seq2, 0.344
comp130584_c0_seq1, 0.344
comp102358_c0_seq2, 0.343
comp36549_c0_seq1, 0.342
comp78530_c0_seq5, 0.342
comp29201_c0_seq2, 0.341
comp30279_c0_seq1, 0.340
comp7647_c2_seq1, 0.339
comp100645_c0_seq1, 0.339
comp9897_c2_seq3, 0.338
comp257590_c0_seq1, 0.336
comp516435_c0_seq1, 0.333
comp30717_c0_seq1, 0.333
comp318955_c0_seq1, 0.330
comp38529_c0_seq1, 0.330
comp102841_c0_seq1, 0.330
comp129438_c0_seq1, 0.329
comp95147_c0_seq4, 0.326
comp5883_c0_seq1, 0.326
comp83843_c0_seq1, 0.326
comp363_c5_seq1, 0.326
comp110759_c0_seq1, 0.325
comp139435_c0_seq1, 0.325
comp18996_c0_seq1, 0.324
comp10445_c0_seq2, 0.324
comp218136_c0_seq1, 0.323
comp67622_c0_seq1, 0.321
comp15223_c0_seq2, 0.320
comp155236_c0_seq1, 0.319
comp49123_c0_seq1, 0.318
comp3929_c3_seq1, 0.317
comp122057_c0_seq1, 0.317
comp421770_c0_seq1, 0.316
comp163867_c0_seq2, 0.316
comp91245_c0_seq1, 0.313
comp44980_c0_seq2, 0.310
comp66115_c0_seq1, 0.309
comp351141_c0_seq1, 0.308
comp35422_c0_seq4, 0.307
comp12197_c0_seq1, 0.306
comp531059_c0_seq1, 0.305
comp94003_c0_seq1, 0.305
comp124752_c1_seq1, 0.304
comp35437_c0_seq2, 0.295
comp61271_c0_seq1, 0.294
comp131635_c0_seq1, 0.293
comp225742_c0_seq1, 0.291
comp429_c49_seq15, 0.280
comp478799_c0_seq1, 0.273
comp2126_c3_seq1, 0.267
comp508564_c0_seq1, 0.263
comp11818_c0_seq1, 0.262
comp513000_c0_seq1, 0.260
comp447702_c0_seq1, 0.259
comp2231_c0_seq1, 0.258
comp185253_c0_seq1, 0.257
comp387394_c0_seq1, 0.252
comp95177_c0_seq1, 0.250
comp308018_c0_seq2, 0.248
comp13649_c0_seq2, 0.246
comp265992_c0_seq1, 0.243
comp493346_c0_seq1, 0.240
comp257184_c0_seq1, 0.236
comp145800_c0_seq1, 0.235
comp41563_c0_seq1, 0.229
comp110159_c0_seq1, 0.224
comp1916_c3_seq11, 0.222
comp278847_c0_seq1, 0.217
comp112135_c0_seq1, 0.208
comp5990_c0_seq1, 0.203
comp1068_c0_seq2, 0.201
comp205963_c0_seq3, 0.183
comp59045_c1_seq1, 0.179
comp60031_c1_seq1, 0.166
comp247542_c0_seq2, 0.146
comp175622_c0_seq1, 0.000
comp7924_c3_seq4, 0.000
comp322_c20_seq16, 0.000
comp322_c20_seq15, 0.000
comp217991_c1_seq1, 0.000
comp2580_c1_seq1, 0.000
comp124813_c0_seq2, 0.000
comp97727_c0_seq1, 0.000
comp126120_c0_seq1, 0.000
comp803_c1_seq1, 0.000
comp284306_c0_seq1, 0.000
comp16104_c1_seq1, 0.000
comp803_c1_seq2, 0.000
comp116396_c0_seq1, 0.000
comp19168_c2_seq8, 0.000
comp1097_c5_seq31, 0.000
comp147702_c0_seq1, 0.000
comp128366_c0_seq4, 0.000
comp182333_c0_seq1, 0.000
comp397782_c0_seq1, 0.000
comp299069_c0_seq1, 0.000
comp109351_c0_seq2, 0.000
comp2683_c0_seq1, 0.000
comp250757_c0_seq1, 0.000
comp284515_c0_seq1, 0.000
comp14160_c0_seq1, 0.000
comp315372_c0_seq1, 0.000
comp429334_c0_seq1, 0.000
comp14509_c0_seq1, 0.000
comp348871_c0_seq1, 0.000
comp229171_c0_seq1, 0.000
comp248003_c0_seq1, 0.000
comp38258_c0_seq2, 0.000
comp38258_c0_seq3, 0.000
comp156245_c0_seq1, 0.000
comp165827_c0_seq1, 0.000
comp270145_c0_seq1, 0.000
comp267305_c0_seq1, 0.000
comp29175_c0_seq1, 0.000
comp65274_c0_seq1, 0.000
comp144258_c0_seq1, -0.000
comp13560_c0_seq4, 0.000
comp7188_c3_seq5, 0.000
comp8034_c2_seq1, 0.000
comp3326_c6_seq56, 0.000
comp8641_c0_seq51, 0.000
comp104971_c0_seq1, 0.000
comp41784_c0_seq3, 0.000
